FPPG,PP,Player,PF,PS,Pos
5.3,43,Henrik Lundqvist,CLS@,"$9,800",G
5.4,55,Devan Dubnyk,WPG@,"$9,800",G
5.2,35,Cameron Talbot,CLS@,"$9,300",G
5,48,Sergei Bobrovsky,@NYR,"$9,300",G
4.5,69,Tyler Seguin,@SJ,"$8,900",C
4.5,77,Rick Nash,CLS@,"$8,800",LW
3.8,79,Jamie Benn,@SJ,"$8,800",LW
3.1,14,Martin Jones,@VAN,"$8,600",G
3.5,79,Logan Couture,DAL@,"$8,500",C
4.7,44,Ryan Miller,LA@,"$8,400",G
4.3,69,Jon Quick,@VAN,"$8,400",G
4.5,60,Antti Niemi,DAL@,"$8,300",G
4,47,Ondrej Pavelec,@MIN,"$8,100",G
4.2,37,Michael Hutchinson,@MIN,"$8,000",G
4.2,39,Eddie Lack,LA@,"$8,000",G
4.9,29,Josh Harding,WPG@,"$7,900",G
3.6,20,Alex Stalock,DAL@,"$7,800",G
3.9,79,Joe Pavelski,DAL@,"$7,800",RW
4.2,65,Kari Lehtonen,@SJ,"$7,800",G
4.1,71,Zach Parise,WPG@,"$7,700",LW
3.8,76,Blake Wheeler,@MIN,"$7,700",RW
3,19,Chad Johnson,CAR@,"$7,600",G
3.8,48,Cam Ward,@BUF,"$7,600",G
2.9,33,Anton Khudobin,@BUF,"$7,600",G
3.7,24,Peter Budaj,@MIN,"$7,500",G
3.1,73,Eric Staal,@BUF,"$7,500",C
3.4,68,Dustin Byfuglien,@MIN,"$7,400",D
3.5,29,Darcy Kuemper,WPG@,"$7,400",G
2.9,59,Mathieu Perreault,@MIN,"$7,100",RW
3.4,73,Scott Hartnell,@NYR,"$7,100",LW
3.3,78,Ryan Johansen,@NYR,"$7,000",C
3.6,76,Radim Vrbata,LA@,"$7,000",RW
3.8,31,Curtis McElhinney,@NYR,"$7,000",G
7.9,2,MacKenzie Skapski,CLS@,"$7,000",G
2.8,79,Patrick Marleau,DAL@,"$7,000",LW
4.6,4,Jeff Drouin-Deslauriers,@VAN,"$7,000",G
3.4,78,Andrew Ladd,@MIN,"$6,900",LW
3.1,65,Marian Gaborik,@VAN,"$6,900",LW
6.5,2,Troy Grosenick,DAL@,"$6,800",G
3.1,23,Anders Lindback,CAR@,"$6,700",G
2.3,19,Niklas Backstrom,WPG@,"$6,600",G
3.5,47,Jhonas Enroth,@SJ,"$6,600",G
2.1,11,Evgeni Nabokov,DAL@,"$6,500",G
3.2,78,Jeff Carter,@VAN,"$6,400",C
2.9,79,Jason Spezza,@SJ,"$6,300",C
3.2,79,Brent Burns,DAL@,"$6,300",D
3.3,37,Evander Kane,CAR@,"$6,300",LW
2.8,75,Anze Kopitar,@VAN,"$6,300",C
3.7,75,Nick Foligno,@NYR,"$6,200",RW
3,78,Jason Pominville,WPG@,"$6,100",RW
2.7,76,Mats Zuccarello Aasen,CLS@,"$6,100",RW
-0.5,2,John Curry,WPG@,"$6,000",G
2.9,76,Chris Kreider,CLS@,"$6,000",LW
3.3,64,Derek Stepan,CLS@,"$6,000",C
3.1,43,Brandon Dubinsky,@NYR,"$6,000",C
3,76,Derick Brassard,CLS@,"$6,000",C
2.5,74,Cam Atkinson,@NYR,"$5,900",RW
3.4,79,Daniel Sedin,LA@,"$5,900",LW
2.5,77,Mikko Koivu,WPG@,"$5,800",C
3.1,72,Tyler Toffoli,@VAN,"$5,800",RW
0.2,2,Jussi Rynnas,@SJ,"$5,700",G
2.6,77,Thomas Vanek,WPG@,"$5,500",LW
2,42,Jordan Staal,@BUF,"$5,500",C
3.1,67,Bryan Little,@MIN,"$5,400",C
2.6,78,Drew Doughty,@VAN,"$5,400",D
2.5,78,Justin Faulk,@BUF,"$5,300",D
2.3,27,Boone Jenner,@NYR,"$5,300",LW
2.8,7,Nathan Lieuwen,CAR@,"$5,200",G
2.7,75,Joe Thornton,DAL@,"$5,200",C
1.9,66,Brian Gionta,CAR@,"$5,100",RW
2.4,77,Justin Williams,@VAN,"$5,100",RW
4.7,2,Danny Taylor,@MIN,"$5,000",G
2.2,1,Jack Campbell,@SJ,"$5,000",G
0.2,1,Cedrick Desjardins,CLS@,"$5,000",G
0,2,Drew MacIntyre,@BUF,"$5,000",LW
1.7,64,Ryan Garbutt,@SJ,"$5,000",C
1.2,5,Anton Forsberg,@NYR,"$5,000",G
0,0,Joe Cannata,LA@,"$5,000",G
1.9,5,Matthew Hackett,CAR@,"$5,000",G
1.6,3,Jacob Markstrom,LA@,"$5,000",G
2.2,77,Nino Niederreiter,WPG@,"$4,900",LW
2.8,79,Henrik Sedin,LA@,"$4,900",C
2.7,70,Martin St. Louis,CLS@,"$4,900",RW
1.9,42,Zack Kassian,LA@,"$4,900",RW
2,77,Elias Lindholm,@BUF,"$4,900",RW
2,65,Trevor Daley,@SJ,"$4,800",D
1.7,79,Alex Goligoski,@SJ,"$4,800",D
2.4,78,Michael Frolik,@MIN,"$4,800",RW
2.2,64,Mikael Granlund,WPG@,"$4,800",C
2.2,72,Nick Bonino,LA@,"$4,700",C
2.4,80,Keith Yandle,CLS@,"$4,700",D
2,74,Matt Moulson,CAR@,"$4,700",LW
2.3,75,Tyler Ennis,CAR@,"$4,700",RW
2.2,72,Drew Stafford,@MIN,"$4,600",LW
1.9,77,Chris Stewart,WPG@,"$4,600",RW
2.2,75,Christopher Higgins,LA@,"$4,600",LW
2.4,67,Alex Burrows,LA@,"$4,600",RW
1.3,73,Andrej Sekera,@VAN,"$4,500",D
2.3,62,John Klingberg,@SJ,"$4,500",D
2,75,Cody Eakin,@SJ,"$4,500",RW
1.8,73,Ales Hemsky,@SJ,"$4,500",RW
2.4,78,Carl Hagelin,CLS@,"$4,500",LW
2.5,78,Mark Scheifele,@MIN,"$4,500",C
2.2,72,Tommy Wingels,DAL@,"$4,400",RW
1.9,62,Jacob Trouba,@MIN,"$4,400",D
1.5,61,David Clarkson,@NYR,"$4,300",RW
1.7,50,Matt Irwin,DAL@,"$4,300",D
2.1,42,Tanner Pearson,@VAN,"$4,300",LW
1.8,75,Jack Johnson,@NYR,"$4,300",D
2.1,73,Jeff Skinner,@BUF,"$4,300",LW
2.2,72,Jacob Muzzin,@VAN,"$4,200",D
2.2,48,Jason Zucker,WPG@,"$4,200",LW
1.7,60,Kevin Connauton,@NYR,"$4,100",D
1.6,69,Matthew Nieto,DAL@,"$4,100",LW
2.3,67,Ryan McDonagh,CLS@,"$4,100",D
1.7,78,Dustin Brown,@VAN,"$4,100",RW
1.5,57,Kevin Bieksa,LA@,"$4,000",D
2.2,74,Ryan Suter,WPG@,"$4,000",D
0.4,33,Cal O'Reilly,LA@,"$4,000",C
1.7,78,Jannik Hansen,LA@,"$4,000",RW
1.9,61,Dan Boyle,CLS@,"$4,000",D
1.7,78,David Savard,@NYR,"$4,000",D
1.8,76,Victor Rask,@BUF,"$4,000",C
1.7,54,Mathew Dumba,WPG@,"$4,000",D
2.1,75,Kevin Hayes,CLS@,"$3,900",C
1.7,68,Jiri Tlusty,@MIN,"$3,900",LW
1.7,79,Tomas Hertl,DAL@,"$3,900",LW
1.6,36,Johan Larsson,CAR@,"$3,900",C
1.4,53,Alexander Semin,@BUF,"$3,900",RW
2.2,71,Alexander Edler,LA@,"$3,900",D
1.8,68,Justin Fontaine,WPG@,"$3,800",RW
1.5,67,Brayden McNabb,@VAN,"$3,800",D
3,1,Maxime Fortunus,@SJ,"$3,800",D
1,57,Andrej Meszaros,CAR@,"$3,800",D
1.6,70,Marc-Edouard Vlasic,DAL@,"$3,800",D
1.9,65,Kevin Klein,CLS@,"$3,800",D
1.9,62,Rich Peverley,@SJ,"$3,800",RW
