A,GS,GA,G,GP,L,Sv,TOI,W,Team,PIM,Player,SvPerc,Fantasy,SO,SA,OT,GAA
0,33,94,0,39,13,1042,"2,198:59",16,VAN,2,Eddie Lack,.917,0,1,1136,4,2.56
0,25,63,0,28,9,670,"1,525:02",15,DET,0,Petr Mrazek,.914,0,2,733,2,2.48
0,32,75,0,34,9,777,"1,731:47",15,CGY,0,Karri Ramo,.912,0,2,852,3,2.60
1,52,164,0,56,26,1355,"3,165:05",15,EDM,4,Ben Scrivens,.892,0,1,1519,10,3.11
0,41,143,0,47,26,1293,"2,653:38",15,,0,Jhonas Enroth,.900,0,1,1436,2,3.23
0,35,87,0,35,13,1047,"2,092:31",14,OTT,4,Craig Anderson,.923,0,3,1134,8,2.49
1,58,178,0,59,39,1683,"3,400:21",14,ARI,8,Mike Smith,.904,0,0,1861,5,3.14
0,21,58,0,23,8,616,"1,339:55",13,ANA,0,John Gibson,.914,0,1,674,0,2.60
0,27,65,0,29,12,610,"1,490:08",13,MIN,0,Darcy Kuemper,.904,0,3,675,2,2.62
0,27,78,0,31,14,819,"1,645:21",11,CBJ,0,Curtis McElhinney,.913,0,0,897,2,2.84
0,24,78,0,30,10,654,"1,511:04",10,PHI,4,Ray Emery,.893,0,0,732,7,3.10
0,12,24,0,13,3,371,773:05,9,CHI,0,Scott Darling,.939,0,1,395,0,1.86
0,18,50,0,20,6,496,"1,159:22",9,PIT,0,Thomas Greiss,.908,0,0,546,3,2.59
1,24,74,0,25,12,705,"1,471:20",9,OTT,0,Robin Lehner,.905,0,0,779,3,3.02
0,26,89,0,34,15,892,"1,743:23",9,TOR,2,James Reimer,.909,0,0,981,1,3.06
0,17,46,0,20,7,447,"1,117:13",8,SJS,2,Alex Stalock,.907,0,2,493,2,2.47
0,31,84,0,33,16,765,"1,862:12",8,CAR,0,Anton Khudobin,.901,0,1,849,6,2.71
0,17,54,0,19,8,434,"1,052:49",8,NYI,0,Chad Johnson,.889,0,0,488,1,3.08
0,12,25,0,14,4,364,792:11,7,CHI,0,Antti Raanta,.936,0,2,389,1,1.89
0,14,35,0,18,5,390,900:12,7,BOS,0,Niklas Svedberg,.918,0,2,425,1,2.33
0,13,34,0,16,5,381,864:07,7,TBL,0,Andrei Vasilevskiy,.918,0,1,415,1,2.36
0,32,92,0,32,20,975,"1,849:45",7,,0,Michal Neuvirth,.914,0,0,1067,4,2.98
0,13,35,0,16,7,476,895:06,6,COL,0,Calvin Pickard,.932,0,0,511,3,2.35
0,12,36,0,18,5,402,864:16,6,NJD,0,Keith Kinkaid,.918,0,0,438,3,2.50
0,16,41,0,17,6,385,950:52,6,NSH,0,Carter Hutton,.904,0,1,426,4,2.59
1,16,46,0,17,6,463,"1,004:58",6,MTL,0,Dustin Tokarski,.910,0,0,509,4,2.75
0,24,76,0,26,15,605,"1,336:29",6,EDM,0,Viktor Fasth,.888,0,0,681,3,3.41
0,9,25,0,10,2,198,519:01,5,PHI,0,Rob Zepp,.888,0,0,223,0,2.89
