SHP,GW,G,GP,Shift,Team,Pos,P,S,TOI,A,SHG,SPerc,FO,PPG,PIM,Player,PPP,Fantasy,PlusMin,OT
0,1,12,78,20.6,EDM,R,30,183,15:24,18,0,6.6,0,5,18,Nail Yakupov,10,0,-35,0
0,4,24,80,21.9,TOR,R,59,271,18:44,35,0,8.9,40,8,30,Phil Kessel,25,0,-34,1
2,3,22,80,23.6,TOR,C,47,149,19:04,25,2,14.8,52.9,12,44,Tyler Bozak,18,0,-33,0
1,4,27,80,22.6,TOR,L,55,246,19:03,28,1,11,38.9,9,41,James van Riemsdyk,19,0,-32,1
0,0,11,79,23.1,EDM,R,33,140,17:08,22,0,7.9,57.1,5,24,Teddy Purcell,12,0,-30,0
0,0,8,75,25.8,BUF,D,20,118,20:28,12,0,6.8,100,4,26,Rasmus Ristolainen,9,0,-30,0
0,0,14,77,23.9,ARI,R,36,185,19:00,22,0,7.6,20,5,65,Shane Doan,10,0,-28,0
1,1,6,69,21.7,ARI,L,21,82,15:14,15,0,7.3,33.3,5,12,Lauri Korpikoski,8,0,-27,0
0,1,14,78,21.6,ARI,C,40,176,17:12,26,0,8,47.3,6,28,Sam Gagner,12,0,-26,1
1,1,6,76,27.4,,D,20,123,21:12,14,0,4.9,0,1,40,Jeff Petry,4,0,-26,0
0,0,6,75,16.5,BUF,C,13,125,12:53,7,0,4.8,46.1,0,12,Cody Hodgson,1,0,-26,0
0,0,4,70,23.6,ARI,D,7,71,16:47,3,0,5.6,0,0,38,Connor Murphy,0,0,-26,0
0,2,17,78,23.4,,L,41,189,17:22,24,0,9,25,3,62,David Perron,9,0,-25,0
0,2,6,80,26.7,,D,50,219,22:56,44,0,2.7,0,2,40,Keith Yandle,28,0,-25,0
0,0,14,77,19.9,,R,34,147,15:52,20,0,9.5,24.4,5,84,Chris Stewart,10,0,-24,0
0,1,13,79,24.8,,C,38,107,18:01,25,0,12.1,55.4,6,40,Antoine Vermette,14,0,-24,0
0,0,4,67,19.4,ARI,C,13,79,13:24,9,0,5.1,51.2,1,80,Kyle Chipchura,1,0,-24,0
0,2,18,73,21.3,CAR,L,31,222,16:04,13,0,8.1,45.6,4,18,Jeff Skinner,7,0,-23,0
0,0,3,78,27.9,ARI,D,18,141,20:37,15,0,2.1,100,0,60,Michael Stone,5,0,-23,0
0,0,2,57,27.8,EDM,D,18,92,21:53,16,0,2.2,0,0,4,Oscar Klefbom,2,0,-23,0
0,1,5,56,25.2,TOR,D,9,61,21:05,4,0,8.2,100,0,48,Roman Polak,0,0,-22,0
1,1,5,79,15.6,BUF,L,15,73,11:54,10,0,6.8,0,0,71,Nicolas Deslauriers,0,0,-22,0
0,0,3,64,22,CBJ,C,18,79,15:31,15,0,3.8,42.9,1,20,Alexander Wennberg,4,0,-22,0
0,0,4,77,24.4,TOR,D,24,98,20:54,20,0,4.1,0,0,22,Jake Gardiner,8,0,-21,0
2,0,2,74,26.6,EDM,D,8,78,17:56,6,0,2.6,0,0,14,Mark Fayne,0,0,-21,0
1,7,23,79,29.5,ARI,D,43,251,25:07:00,20,1,9.2,0,10,38,Oliver Ekman-Larsson,20,0,-19,3
1,1,19,75,21.7,BUF,C,43,175,19:00,24,1,10.9,36.6,6,37,Tyler Ennis,16,0,-19,0
2,4,15,78,30.5,CAR,D,48,220,24:23:00,33,2,6.8,0,7,28,Justin Faulk,20,0,-19,0
0,1,13,77,22.3,DAL,L,25,109,14:36,12,0,11.9,17.6,0,141,Antoine Roussel,3,0,-19,0
2,1,11,66,23.7,NJD,C,32,108,17:38,21,0,10.2,38.6,4,12,Patrik Elias,8,0,-19,0
0,1,6,57,15.1,,R,10,85,11:01,4,0,7.1,33.3,1,17,Matt Fraser,1,0,-19,0
0,1,2,63,18,FLA,R,8,104,12:54,6,0,1.9,75,0,28,Tomas Kopecky,0,0,-19,0
1,0,1,58,24.9,BUF,D,9,45,18:18,8,1,2.2,0,0,20,Andre Benoit,1,0,-19,0
0,4,17,77,22.4,CAR,C,39,162,16:23,22,0,10.5,50.8,4,14,Elias Lindholm,15,0,-18,1
0,0,14,68,22.8,,C,31,120,16:19,17,0,11.7,33.3,6,20,Jiri Tlusty,10,0,-18,0
0,1,6,78,26.9,EDM,D,31,121,22:38,25,0,5,100,0,12,Justin Schultz,12,0,-18,0
0,0,6,45,17.4,CBJ,R,8,95,12:31,2,0,6.3,37.5,0,16,Jack Skille,0,0,-18,0
0,2,23,78,24.7,EDM,R,62,180,19:03,39,0,12.8,16.7,6,24,Jordan Eberle,21,0,-17,0
0,4,18,79,26,SJS,L,56,227,19:40,38,0,7.9,48,7,12,Patrick Marleau,24,0,-17,0
2,2,16,65,30.3,DAL,D,36,112,22:58,20,2,14.3,0,6,34,Trevor Daley,12,0,-17,0
3,1,13,69,23.3,ARI,R,21,177,16:55,8,3,7.3,20,0,12,Tobias Rieder,2,0,-17,0
0,0,5,80,18.2,FLA,C,11,71,12:24,6,0,7,52.9,1,45,Derek MacKenzie,1,0,-17,0
1,0,4,57,19.8,ARI,R,11,96,12:42,7,0,4.2,46.2,1,24,David Moss,2,0,-17,0
