FOPerc,PKPerc,Ld1Perc,GP,PPerc,OSPerc,L,FA,W,Team,Sc1Perc,OSBPerc,GGP,HROW,Ld2Perc,PPPerc,OT,Tr1Perc,GAGP,P,SGP,Fantasy,RROW,SAP,ROW
46.7,84.6,.844,78,.686,.600,21,1.34,50,NY RANGERS,.809,.677,3.03,22,.971,17.1,7,.387,2.27,107,31.3,0,24,29.7,46
51.8,81.0,.806,80,.669,.579,23,1.05,50,ANAHEIM,.761,.659,2.82,21,.935,16.0,7,.441,2.70,107,30.0,0,21,28.9,42
53.6,83.4,.808,79,.665,.653,23,1.17,49,ST LOUIS,.773,.560,2.95,21,.833,22.3,7,.429,2.44,105,31.1,0,19,27.3,40
52.3,83.0,.714,80,.663,.600,22,1.19,48,MONTREAL,.821,.575,2.59,24,.865,16.5,10,.390,2.22,106,28.4,0,18,30.3,42
49.9,83.7,.828,80,.650,.614,24,1.29,48,TAMPA BAY,.756,.594,3.16,29,.943,18.3,8,.400,2.51,104,29.6,0,17,27.8,46
52.0,84.2,.897,79,.646,.620,25,1.21,48,CHICAGO,.761,.607,2.73,19,1.000,17.8,6,.394,2.27,102,34.1,0,20,30.4,39
49.1,81.1,.800,79,.658,.659,22,1.30,47,NASHVILLE,.750,.529,2.80,24,.771,16.3,10,.465,2.42,104,31.8,0,17,28.4,41
49.3,78.1,.655,79,.620,.627,27,1.08,46,NY ISLANDERS,.583,.450,2.96,22,.781,19.0,6,.581,2.71,98,33.6,0,17,28.1,39
46.9,85.3,.762,79,.601,.632,29,0.95,45,VANCOUVER,.765,.512,2.84,19,.879,18.9,5,.422,2.71,95,29.9,0,21,29.8,40
51.3,81.3,.862,80,.619,.514,25,1.07,44,WASHINGTON,.857,.500,2.90,19,.872,25.3,11,.211,2.44,99,29.5,0,20,28.8,39
49.7,86.7,.844,78,.615,.528,26,1.16,44,MINNESOTA,.773,.667,2.81,20,.875,15.6,8,.294,2.42,96,30.9,0,20,27.4,40
47.4,80.2,.875,79,.589,.452,29,1.06,43,CALGARY,.697,.581,2.91,19,.920,19.0,7,.435,2.60,93,27.5,0,20,29.3,39
48.7,84.6,.758,79,.601,.591,26,1.08,42,PITTSBURGH,.681,.500,2.67,21,.906,19.8,11,.313,2.49,95,31.5,0,17,29.2,38
51.6,80.8,.875,79,.601,.535,25,1.04,41,DETROIT,.590,.500,2.82,20,.833,24.0,13,.450,2.60,95,29.7,0,17,28.2,37
53.5,81.9,.742,79,.601,.537,25,1.08,41,BOSTON,.690,.485,2.60,22,.871,17.9,13,.324,2.43,95,30.9,0,15,29.9,37
48.1,82.3,.682,79,.589,.500,26,1.08,40,OTTAWA,.568,.511,2.81,20,.808,17.0,13,.429,2.58,93,31.0,0,14,32.2,34
49.0,81.3,.667,78,.590,.535,26,1.10,40,WINNIPEG,.638,.485,2.76,19,.778,18.6,12,.323,2.60,92,29.6,0,14,28.7,33
51.5,80.7,.750,78,.590,.558,25,1.20,39,LOS ANGELES,.675,.455,2.69,22,.794,18.8,14,.316,2.41,92,30.8,0,15,27.0,37
51.8,78.3,.815,79,.551,.488,31,0.94,39,SAN JOSE,.725,.528,2.77,18,.800,21.6,9,.256,2.73,87,31.6,0,17,29.7,35
49.3,79.7,.792,78,.526,.391,35,0.84,39,COLUMBUS,.706,.551,2.70,13,.826,21.7,4,.341,3.05,82,28.5,0,18,33.2,31
51.8,80.5,.731,79,.544,.325,31,0.94,38,DALLAS,.619,.611,3.09,16,.743,18.4,10,.324,3.23,86,31.3,0,18,30.2,34
48.5,80.1,.789,80,.544,.386,29,1.01,36,FLORIDA,.697,.514,2.39,15,.750,15.8,15,.277,2.61,87,30.7,0,13,29.4,28
50.6,84.6,.682,79,.532,.600,31,0.99,36,COLORADO,.657,.385,2.57,15,.840,14.5,12,.295,2.77,84,28.1,0,12,33.0,27
51.2,76.9,.720,79,.519,.500,29,1.01,32,PHILADELPHIA,.677,.325,2.60,19,.857,23.7,18,.229,2.70,82,29.4,0,10,30.3,29
47.1,81.2,.593,79,.487,.250,34,0.94,32,NEW JERSEY,.558,.452,2.14,14,.781,18.9,13,.222,2.51,77,24.4,0,13,30.6,27
48.9,80.5,.800,80,.419,.391,43,0.82,30,TORONTO,.700,.389,2.54,19,.826,16.4,7,.180,3.11,67,29.2,0,6,33.5,25
52.7,85.0,.696,78,.442,.449,38,0.76,29,CAROLINA,.600,.222,2.24,15,.778,19.0,11,.186,2.68,69,30.5,0,9,27.3,24
51.9,77.2,.522,79,.354,.385,47,0.62,24,ARIZONA,.424,.275,2.05,9,.824,20.6,8,.217,3.25,56,29.3,0,10,33.2,19
47.9,77.0,.455,79,.373,.343,43,0.66,23,EDMONTON,.484,.262,2.32,12,.667,18.0,13,.167,3.35,59,28.5,0,6,29.9,18
45.4,75.0,.533,79,.329,.500,49,0.61,22,BUFFALO,.514,.242,1.86,9,.625,13.1,8,.091,3.29,52,24.1,0,5,35.3,14
